Data length, Time, Total bytes, Data rate, Errors
30000, 1.061, 59793, 56355.324, 0
30000, 1.135, 59793, 52681.059, 0
30000, 1.060, 59793, 56408.492, 0
30000, 1.539, 59793, 38851.852, 0
30000, 1.045, 59793, 57218.184, 0
31000, 0.758, 59793, 78882.586, 0
31000, 1.237, 59793, 48337.105, 0
31000, 1.000, 59793, 59793.000, 0
31000, 1.042, 59793, 57382.914, 0
31000, 1.066, 59793, 56090.996, 0
31000, 0.708, 59793, 84453.391, 0
31000, 1.033, 59793, 57882.867, 0
31000, 1.057, 59793, 56568.590, 0
31000, 1.016, 59793, 58851.375, 0
31000, 1.007, 59793, 59377.359, 0
31000, 0.712, 59793, 83978.930, 0
31000, 0.752, 59793, 79511.969, 0
31000, 1.004, 59793, 59554.785, 0
31000, 0.861, 59793, 69445.992, 0
31000, 0.901, 59793, 66362.930, 0
31000, 0.727, 59793, 82246.219, 0
31000, 1.017, 59793, 58793.512, 0
31000, 0.980, 59793, 61013.266, 0
31000, 0.955, 59793, 62610.473, 0
31000, 1.066, 59793, 56090.996, 0
32000, 0.977, 59793, 61200.613, 0
32000, 0.720, 59793, 83045.828, 0
32000, 1.077, 59793, 55518.105, 0
32000, 1.052, 59793, 56837.449, 0
32000, 1.172, 59793, 51017.914, 0
32000, 0.838, 59793, 71352.031, 0
32000, 1.082, 59793, 55261.551, 0
32000, 0.969, 59793, 61705.883, 0
32000, 1.044, 59793, 57272.988, 0
32000, 0.989, 59793, 60458.035, 0
32000, 1.105, 59793, 54111.312, 0
32000, 1.022, 59793, 58505.875, 0
32000, 1.066, 59793, 56090.996, 0
32000, 1.045, 59793, 57218.184, 0
32000, 1.025, 59793, 58334.637, 0
32000, 1.059, 59793, 56461.754, 0
32000, 1.750, 59793, 34167.430, 0
32000, 1.021, 59793, 58563.172, 0
32000, 1.017, 59793, 58793.512, 0
32000, 1.063, 59793, 56249.297, 0
33000, 0.994, 59793, 60153.922, 0
33000, 1.026, 59793, 58277.777, 0
33000, 0.856, 59793, 69851.633, 0
33000, 1.063, 59793, 56249.297, 0
33000, 1.031, 59793, 57995.148, 0
33000, 1.002, 59793, 59673.652, 0
33000, 1.015, 59793, 58909.359, 0
33000, 0.729, 59793, 82020.578, 0
33000, 1.123, 59793, 53243.988, 0
33000, 0.998, 59793, 59912.824, 0
33000, 0.826, 59793, 72388.625, 0
33000, 0.721, 59793, 82930.648, 0
33000, 1.013, 59793, 59025.664, 0
33000, 0.720, 59793, 83045.828, 0
33000, 1.097, 59793, 54505.926, 0
33000, 0.974, 59793, 61389.117, 0
33000, 0.194, 59793, 308211.344, 0
33000, 1.002, 59793, 59673.652, 0
33000, 1.042, 59793, 57382.914, 0
33000, 1.028, 59793, 58164.398, 0
33000, 1.070, 59793, 55881.305, 0
33000, 0.980, 59793, 61013.266, 0
34000, 1.042, 59793, 57382.914, 0
34000, 0.736, 59793, 81240.492, 0
34000, 1.043, 59793, 57327.902, 0
34000, 0.848, 59793, 70510.617, 0
34000, 1.213, 59793, 49293.484, 0
34000, 1.072, 59793, 55777.051, 0
34000, 1.022, 59793, 58505.875, 0
34000, 1.120, 59793, 53386.605, 0
34000, 1.024, 59793, 58391.598, 0
34000, 1.037, 59793, 57659.598, 0
34000, 1.009, 59793, 59259.668, 0
34000, 1.049, 59793, 57000.000, 0
34000, 1.062, 59793, 56302.258, 0
34000, 1.012, 59793, 59083.996, 0
34000, 0.711, 59793, 84097.047, 0
34000, 0.898, 59793, 66584.633, 0
34000, 0.962, 59793, 62154.887, 0
34000, 0.438, 59793, 136513.703, 0
34000, 0.954, 59793, 62676.102, 0
34000, 1.000, 59793, 59793.000, 0
35000, 1.143, 59793, 52312.336, 0
35000, 0.999, 59793, 59852.852, 0
35000, 0.716, 59793, 83509.773, 0
35000, 0.873, 59793, 68491.406, 0
35000, 0.935, 59793, 63949.734, 0
35000, 1.072, 59793, 55777.051, 0
35000, 1.054, 59793, 56729.602, 0
35000, 0.804, 59793, 74369.398, 0
35000, 1.037, 59793, 57659.598, 0
35000, 1.078, 59793, 55466.609, 0
35000, 1.045, 59793, 57218.184, 0
35000, 1.079, 59793, 55415.199, 0
35000, 0.949, 59793, 63006.324, 0
35000, 1.149, 59793, 52039.164, 0
35000, 0.706, 59793, 84692.641, 0
35000, 1.163, 59793, 51412.727, 0
35000, 1.063, 59793, 56249.297, 0
35000, 1.000, 59793, 59793.000, 0
35000, 1.050, 59793, 56945.719, 0
35000, 1.024, 59793, 58391.598, 0
36000, 1.040, 59793, 57493.270, 0
36000, 1.059, 59793, 56461.754, 0
36000, 1.123, 59793, 53243.988, 0
36000, 1.019, 59793, 58678.113, 0
36000, 1.011, 59793, 59142.430, 0
36000, 1.038, 59793, 57604.047, 0
36000, 0.972, 59793, 61515.434, 0
36000, 1.032, 59793, 57938.957, 0
36000, 0.993, 59793, 60214.504, 0
36000, 0.984, 59793, 60765.242, 0
36000, 0.705, 59793, 84812.766, 0
36000, 1.062, 59793, 56302.258, 0
36000, 0.934, 59793, 64018.199, 0
36000, 1.224, 59793, 48850.492, 0
36000, 1.021, 59793, 58563.172, 0
36000, 0.725, 59793, 82473.102, 0
36000, 1.012, 59793, 59083.996, 0
36000, 1.055, 59793, 56675.832, 0
36000, 1.075, 59793, 55621.395, 0
36000, 1.063, 59793, 56249.297, 0
37000, 0.789, 59793, 75783.273, 0
37000, 1.024, 59793, 58391.598, 0
37000, 1.139, 59793, 52496.047, 0
37000, 1.019, 59793, 58678.113, 0
37000, 0.849, 59793, 70427.562, 0
37000, 0.985, 59793, 60703.551, 0
37000, 1.069, 59793, 55933.582, 0
37000, 1.201, 59793, 49786.012, 0
37000, 1.087, 59793, 55007.359, 0
37000, 1.025, 59793, 58334.637, 0
37000, 1.001, 59793, 59733.266, 0
37000, 0.759, 59793, 78778.656, 0
37000, 0.721, 59793, 82930.648, 0
37000, 1.036, 59793, 57715.250, 0
37000, 0.717, 59793, 83393.305, 0
37000, 1.005, 59793, 59495.523, 0
37000, 1.038, 59793, 57604.047, 0
37000, 1.034, 59793, 57826.883, 0
37000, 1.008, 59793, 59318.453, 0
37000, 1.110, 59793, 53867.566, 0
38000, 0.942, 59793, 63474.523, 0
38000, 1.168, 59793, 51192.637, 0
38000, 0.709, 59793, 84334.273, 0
38000, 0.980, 59793, 61013.266, 0
38000, 1.133, 59793, 52774.051, 0
38000, 1.039, 59793, 57548.602, 0
38000, 1.049, 59793, 57000.000, 0
38000, 1.022, 59793, 58505.875, 0
38000, 0.778, 59793, 76854.758, 0
38000, 1.038, 59793, 57604.047, 0
38000, 1.061, 59793, 56355.324, 0
38000, 1.045, 59793, 57218.184, 0
38000, 0.956, 59793, 62544.980, 0
